,Sentence,Author_name,Vader_Sentiment,Vader_Analysis,TextBlob_Polarity,TextBlob_Analysis
0,"Our @csmcr alumni - Simona Alexandra, helping build software that powers the new generation of smart clothing Life after study Student experience 27th October 2021  Simona is a Computer Science University of Manchester alumnus",Simona-Alexandra,0.6597,Positive,0.17532467532467533,Positive
1, She studied BSc in Software Engineering and graduated in June 2020,Simona-Alexandra,0.0,Neutral,0.0,Neutral
2,"  Hello Simona! Can you tell us a bit about your education before university? I finished high school in Romania, and it was focused on Maths, English, and Programming",Simona-Alexandra,0.0,Neutral,0.08,Positive
3," Similar to A levels in the UK, this was my initial foundation towards becoming a software engineer",Simona-Alexandra,0.0,Neutral,0.0,Neutral
4,"  What career has your BSc in software engineering led you to? I am a graduate software engineer at Prevayl, a start-up company based in Manchester",Simona-Alexandra,0.0,Neutral,-0.8,Negative
5, My job focuses on helping build the software that powers the new generation of smart clothing,Simona-Alexandra,0.6597,Positive,0.17532467532467533,Positive
6," I focus on building react native features for the mobile application, as well as dealing with the infrastructure and logic behind the app",Simona-Alexandra,0.2732,Neutral,-0.4,Negative
7,"  In terms of the impact of my work, I get to be part of the team that revolutionises how people train and how their performance is dynamically analysed and used to offer powerful insights and training advice",Simona-Alexandra,0.6486,Positive,0.3,Positive
8,  Did your studies in Computer Science at UoM prepare you for this career path? My studies at UoM have played a great role in opening a new world of opportunities around me,Simona-Alexandra,0.8519,Positive,0.31212121212121213,Positive
9," Moreover, having studied here has given me the foundation for a great software engineering career",Simona-Alexandra,0.6249,Positive,0.8,Positive
10, I got to grasp fundamental knowledge from various computer science fields which have allowed me to find my path in the industry,Simona-Alexandra,0.2263,Neutral,0.0,Neutral
11,  Simona Alexandra UoM Computer Science StudentDid you participate in any additional activities at UoM that may have helped you secure your job and gain more holistic life skills? I was part of UniCS and handled social media posts for my first year of university,Simona-Alexandra,0.8176,Positive,0.22777777777777777,Positive
12, I was also a volunteer for the Great Uni Hack during my second year of university and I participated in a few hackathons myself over the years,Simona-Alexandra,0.6249,Positive,0.4,Positive
13," Through these activities, I learned more about cooperation, communication, organisation, as well as being part of a community of students with similar interests",Simona-Alexandra,0.6249,Positive,0.0,Neutral
14," Whilst hard skills are important in my job, soft skills are a crucial aspect of being part of a team so participating in extracurricular activities has helped me in that regard",Simona-Alexandra,0.4767,Neutral,0.052083333333333336,Positive
15,"  How did you go about job hunting and what tips do you have for current students? I started job hunting in my last year at UoM, around November",Simona-Alexandra,0.0,Neutral,0.0,Neutral
16," If you want to secure a graduate scheme, it's important to start early so you can go through a few interviews and get familiar with the process",Simona-Alexandra,0.5423,Positive,0.31875,Positive
17," I usually kept track of what companies I applied for, what interviews I had lined up, and rejections/successes in an Excel sheet to avoid becoming overwhelmed",Simona-Alexandra,0.296,Neutral,0.024999999999999994,Positive
18," It can be nerve-wracking in the beginning, but if you have a good CV, a wish to learn, and a positive attitude then it's much easier to find and secure a job",Simona-Alexandra,0.926,Positive,0.4401515151515152,Positive
19,  How have you found working life compared to student life? How have you had to adapt? I think every change comes with positive and negative aspects,Simona-Alexandra,-0.0258,Neutral,-0.03636363636363636,Negative
20," Whilst university life gave me more flexibility in terms of my schedule, having financial stability and a more close-knit team of professionals to learn from compensates for that",Simona-Alexandra,0.34,Neutral,0.05,Positive
21," After university, I had to define and adapt my priorities to accommodate a new schedule and learn budgeting skills",Simona-Alexandra,0.0,Neutral,0.13636363636363635,Positive
22," It's a big transition, but I became accustomed to it after a few months",Simona-Alexandra,0.0,Neutral,0.0,Neutral
23, It's exciting to start new chapters in life and I am thankful and proud of my whole journey from being an undergrad at UoM to working in the software engineering team at Prevayl,Simona-Alexandra,0.872,Positive,0.37878787878787884,Positive
24,  ,Simona-Alexandra,0.0,Neutral,0.0,Neutral
25,"In this interview with Jo Havemann, Luca reflects on the fundamental differences between arts and science, what it means to be the only artist in the lab, and how the two disciplines mutually enrich each other",Luca-Forcucci,0.0,Neutral,-0.3125,Negative
26, We are here today with Luca Forcucci  from Switzerland and he's an artist and also a scientist,Luca-Forcucci,0.0,Neutral,0.0,Neutral
27, In this episode he will tell you more about how he became an artist as a scientist,Luca-Forcucci,0.0,Neutral,0.0,Neutral
28, Welcome Luca! Hi my name is Luca Forcucci and I am very happy to be here by the river Spree with a nice sun in front of us,Luca-Forcucci,0.8591,Positive,0.7333333333333334,Positive
29," I have a PhD in music, technology and innovation also known as Sonic Arts",Luca-Forcucci,0.3818,Neutral,0.0,Neutral
30, There's a comma between music and technology by the way,Luca-Forcucci,0.0,Neutral,0.0,Neutral
31," I became involved in this research after a Master in Sonic Arts, studying mainly in Belfast is the UK and in Leicester; I got my PhD from De Montfort University",Luca-Forcucci,0.0,Neutral,0.16666666666666666,Positive
32, Before that I studied architecture so I have a diploma in architecture and I have practiced for 20 years but I have always been involved in music meaning I had a record contract very early and I played concerts for many years in Switzerland,Luca-Forcucci,0.34,Neutral,0.3,Positive
33," I am used to production and research of artists, but I also have been involved in what is called Electroacoustic Music",Luca-Forcucci,0.0,Neutral,0.0,Neutral
34, Meaning neo-music or new music,Luca-Forcucci,0.0,Neutral,0.13636363636363635,Positive
35, When I started my PhD right after my master studies I got a grant from the Swiss government,Luca-Forcucci,0.3612,Neutral,0.2857142857142857,Positive
36, That grant was part of a program called the Swiss artists in labs that would put artists into scientific labs in Switzerland for 9 months,Luca-Forcucci,0.3612,Neutral,0.0,Neutral
37, Then the idea was to see what kind of outcome can come from this research and interactions,Luca-Forcucci,0.5267,Positive,0.6,Positive
38,  I was in the laboratory of cognitive neuroscience in Switzerland which is part of the Brain Mind Institute,Luca-Forcucci,0.0,Neutral,0.0,Neutral
39, I was working with Professor Olaf Blanke,Luca-Forcucci,0.0,Neutral,0.0,Neutral
40, His main research back then was about out-of-body experiences,Luca-Forcucci,0.0,Neutral,0.08333333333333333,Positive
41," The idea was to see how we can handle prosthetics, so various issues and so on",Luca-Forcucci,0.0,Neutral,0.0,Neutral
42," Most of the research is conducted to have virtual imagery, meaning the integration of this in the brain is multimodal so the idea was to see what's the role of the sound so we conducted research on that part",Luca-Forcucci,0.0,Neutral,0.04375000000000001,Positive
43," Right after that program, I started my PhD which was directed into the arts, Sonic Arts",Luca-Forcucci,0.0,Neutral,0.19285714285714284,Positive
44," With this idea of how we perceive sounds, what's the role of embodiment into sound and personally I was interested in mental imagery: What kind of mental imagery there would be in the mind of a person when this person will listen to a particular sound or particular composition or particular sound installation",Luca-Forcucci,0.7269,Positive,0.24999999999999997,Positive
45,"  Obviously, everyone has a personal historical background and memory of course but it was interesting to see if particular space or architectural space would be represented by the brain and if we can find patterns",Luca-Forcucci,0.4588,Neutral,0.041666666666666664,Positive
46, What kind of sounds are you using for your studies?  I used mostly sounds from my expedition e,Luca-Forcucci,0.5267,Positive,0.4666666666666666,Positive
47,g the Brazilian Amazon rainforest,Luca-Forcucci,0.1779,Neutral,0.0,Neutral
48," I stayed there for two weeks with indigenous peoples, rainforest sounds, sounds from cities like Shanghai but also sounds from the body and how they interact between each other",Luca-Forcucci,0.3612,Neutral,0.4000000000000001,Positive
49,  And then to observe how people react to these sounds?  Exactly and for this I had to train people because there's a big difference between hearing a sound and listening to a sound,Luca-Forcucci,0.0,Neutral,0.29000000000000004,Positive
50, It was pointed out by the philosopher  Roland Barthes,Luca-Forcucci,0.0,Neutral,0.0,Neutral
51, Hearing is a physiological act whereas listening is a psychological act,Luca-Forcucci,0.0,Neutral,0.0,Neutral
52, I had to train people to listen and to have a dedicative listening in order to see those images and ask them what kind of architecture spaces we were seeing and then try to find if there were patterns,Luca-Forcucci,0.5267,Positive,0.6,Positive
53,  Did you have a hypothesis in the beginning that you could prove right or wrong what the finding of the study would be?  Well I am not a neuroscientist but I'm working with them,Luca-Forcucci,-0.25,Neutral,-0.10714285714285715,Negative
54, What I perceived is the space that I found among those participants which was 30 people for each piece so it means 180 people in total,Luca-Forcucci,0.0,Neutral,-0.15625,Negative
